timestamp,fault_type,severity
2026-02-22 23:17:33.198807,Under-voltage,2
2026-02-22 23:19:47.398807,Under-voltage,3
2026-02-22 23:20:12.898807,Over-voltage,1
2026-02-22 23:20:46.198807,Under-voltage,2
2026-02-22 23:20:51.998807,Under-voltage,3
2026-02-22 23:21:07.098807,Under-voltage,2
2026-02-22 23:21:52.598807,Under-voltage,2
2026-02-22 23:21:55.498807,Over-voltage,3
2026-02-22 23:23:23.698807,Under-voltage,1
2026-02-22 23:23:55.598807,Under-voltage,2
2026-02-22 23:24:22.798807,Under-voltage,1
2026-02-22 23:25:09.698807,Over-voltage,2
2026-02-22 23:25:29.698807,Over-voltage,1
2026-02-22 23:27:25.298807,Under-voltage,1
2026-02-22 23:27:32.298807,Over-voltage,2
2026-02-22 23:27:35.198807,Over-voltage,1
2026-02-22 23:28:19.198807,Under-voltage,1
2026-02-22 23:28:25.498807,Under-voltage,3
2026-02-22 23:29:24.698807,Under-voltage,1
2026-02-22 23:29:27.398807,Over-voltage,2
2026-02-22 23:29:32.398807,Over-voltage,2
2026-02-22 23:30:04.098807,Over-voltage,1
2026-02-22 23:30:23.298807,Under-voltage,3
2026-02-22 23:30:30.498807,Under-voltage,2
2026-02-22 23:30:31.498807,Over-voltage,1
2026-02-22 23:31:10.598807,Over-voltage,3
2026-02-22 23:31:20.598807,Under-voltage,1
2026-02-22 23:32:10.498807,Over-voltage,3
2026-02-22 23:32:49.298807,Over-voltage,2
2026-02-22 23:33:05.198807,Under-voltage,1
2026-02-22 23:34:14.198807,Under-voltage,2
2026-02-22 23:34:28.998807,Over-voltage,3
2026-02-22 23:34:39.698807,Under-voltage,3
2026-02-22 23:35:33.498807,Under-voltage,3
2026-02-22 23:37:30.098807,Over-voltage,2
2026-02-22 23:37:57.498807,Over-voltage,2
2026-02-22 23:38:27.898807,Over-voltage,2
2026-02-22 23:39:00.098807,Over-voltage,2
2026-02-22 23:39:37.698807,Over-voltage,3
2026-02-22 23:39:41.998807,Over-voltage,1
2026-02-22 23:40:08.298807,Over-voltage,3
2026-02-22 23:40:21.798807,Under-voltage,2
2026-02-22 23:40:35.498807,Under-voltage,2
2026-02-22 23:40:45.498807,Under-voltage,1
2026-02-22 23:41:11.498807,Under-voltage,3
2026-02-22 23:41:13.798807,Under-voltage,2
2026-02-22 23:42:25.998807,Over-voltage,1
2026-02-22 23:43:29.898807,Under-voltage,2
2026-02-22 23:43:35.098807,Under-voltage,2
2026-02-22 23:43:36.698807,Over-voltage,2
2026-02-22 23:43:41.198807,Under-voltage,3
2026-02-22 23:44:13.298807,Over-voltage,2
2026-02-22 23:44:15.098807,Over-voltage,3
2026-02-22 23:44:30.698807,Over-voltage,2
2026-02-22 23:44:42.398807,Over-voltage,1
2026-02-22 23:44:56.898807,Under-voltage,1
2026-02-22 23:45:32.098807,Under-voltage,1
2026-02-22 23:45:33.398807,Under-voltage,3
2026-02-22 23:46:08.698807,Under-voltage,1
2026-02-22 23:46:19.598807,Over-voltage,2
2026-02-22 23:46:21.298807,Under-voltage,1
2026-02-22 23:46:23.598807,Over-voltage,2
2026-02-22 23:46:25.198807,Over-voltage,1
