timestamp,fault_type,severity
2026-02-22 23:17:59.852303,Under-voltage,1
2026-02-22 23:22:27.152303,Over-voltage,2
2026-02-22 23:27:25.952303,Under-voltage,2
2026-02-22 23:31:24.052303,Under-voltage,2
2026-02-22 23:36:54.352303,Under-voltage,2
2026-02-22 23:36:55.652303,Over-voltage,1
2026-02-22 23:42:04.052303,Under-voltage,3
2026-02-22 23:43:55.652303,Under-voltage,1
2026-02-22 23:45:23.152303,Under-voltage,1
2026-02-22 23:51:08.152303,Under-voltage,3
2026-02-22 23:55:51.752303,Over-voltage,3
2026-02-22 23:57:11.552303,Over-voltage,2
2026-02-22 23:59:05.452303,Under-voltage,1
2026-02-23 00:00:37.952303,Under-voltage,2
2026-02-23 00:07:17.652303,Under-voltage,1
2026-02-23 00:08:18.052303,Over-voltage,1
2026-02-23 00:12:43.852303,Under-voltage,2
2026-02-23 00:18:32.652303,Over-voltage,2
2026-02-23 00:19:13.352303,Over-voltage,1
2026-02-23 00:20:05.152303,Under-voltage,1
2026-02-23 00:28:48.652303,Under-voltage,1
2026-02-23 00:31:51.352303,Under-voltage,1
2026-02-23 00:31:54.352303,Under-voltage,1
2026-02-23 00:34:04.852303,Under-voltage,1
2026-02-23 00:36:11.852303,Under-voltage,1
2026-02-23 00:40:52.352303,Under-voltage,3
2026-02-23 00:43:15.552303,Under-voltage,1
2026-02-23 00:44:49.752303,Over-voltage,1
2026-02-23 00:51:03.452303,Over-voltage,2
2026-02-23 00:53:39.752303,Under-voltage,1
2026-02-23 00:56:58.652303,Under-voltage,1
2026-02-23 00:57:42.052303,Over-voltage,1
2026-02-23 01:02:31.052303,Over-voltage,2
2026-02-23 01:05:12.352303,Under-voltage,1
2026-02-23 01:09:21.552303,Over-voltage,1
2026-02-23 01:10:02.352303,Over-voltage,1
2026-02-23 01:10:08.652303,Under-voltage,2
