timestamp,fault_type,severity
2026-02-22 23:17:24.313682,Under-voltage,2
2026-02-22 23:17:29.013682,Under-voltage,1
2026-02-22 23:18:58.513682,Under-voltage,1
2026-02-22 23:19:57.013682,Under-voltage,3
2026-02-22 23:20:27.313682,Under-voltage,1
2026-02-22 23:20:33.913682,Under-voltage,1
2026-02-22 23:21:07.813682,Under-voltage,3
2026-02-22 23:21:35.413682,Under-voltage,2
2026-02-22 23:22:50.913682,Over-voltage,3
2026-02-22 23:22:58.513682,Under-voltage,2
2026-02-22 23:23:55.413682,Under-voltage,1
2026-02-22 23:26:07.313682,Under-voltage,1
2026-02-22 23:26:15.813682,Over-voltage,1
2026-02-22 23:26:39.913682,Under-voltage,3
2026-02-22 23:29:32.713682,Over-voltage,2
2026-02-22 23:31:38.513682,Over-voltage,1
2026-02-22 23:32:03.913682,Over-voltage,1
2026-02-22 23:37:01.013682,Under-voltage,1
2026-02-22 23:37:26.713682,Over-voltage,2
2026-02-22 23:38:41.413682,Over-voltage,3
2026-02-22 23:38:50.013682,Under-voltage,3
2026-02-22 23:41:41.113682,Over-voltage,2
2026-02-22 23:41:50.013682,Under-voltage,2
2026-02-22 23:42:23.313682,Under-voltage,2
2026-02-22 23:44:32.513682,Over-voltage,2
2026-02-22 23:44:34.413682,Under-voltage,2
2026-02-22 23:45:25.913682,Over-voltage,1
2026-02-22 23:45:58.613682,Under-voltage,3
2026-02-22 23:46:22.413682,Under-voltage,2
2026-02-22 23:46:25.513682,Under-voltage,2
