timestamp,fault_type,severity
2026-02-22 23:17:27.946846,Under-voltage,2
2026-02-22 23:17:30.946846,Under-voltage,1
2026-02-22 23:17:44.646846,Under-voltage,1
2026-02-22 23:18:00.846846,Over-voltage,3
2026-02-22 23:18:13.646846,Over-voltage,3
2026-02-22 23:18:26.346846,Under-voltage,2
2026-02-22 23:18:53.746846,Over-voltage,2
2026-02-22 23:19:07.046846,Under-voltage,3
2026-02-22 23:19:13.146846,Over-voltage,1
2026-02-22 23:19:15.946846,Over-voltage,3
2026-02-22 23:19:33.146846,Over-voltage,1
2026-02-22 23:19:47.146846,Under-voltage,2
2026-02-22 23:20:13.446846,Over-voltage,2
2026-02-22 23:20:16.346846,Under-voltage,1
2026-02-22 23:20:20.346846,Under-voltage,1
2026-02-22 23:20:29.846846,Over-voltage,2
2026-02-22 23:20:30.946846,Over-voltage,2
2026-02-22 23:20:37.846846,Under-voltage,2
2026-02-22 23:21:35.846846,Over-voltage,1
2026-02-22 23:22:06.046846,Under-voltage,3
2026-02-22 23:22:20.746846,Under-voltage,3
2026-02-22 23:23:07.246846,Under-voltage,3
2026-02-22 23:23:57.746846,Over-voltage,1
2026-02-22 23:24:09.446846,Over-voltage,3
2026-02-22 23:24:11.946846,Over-voltage,3
2026-02-22 23:24:14.946846,Under-voltage,1
2026-02-22 23:24:42.346846,Over-voltage,2
2026-02-22 23:24:51.846846,Over-voltage,3
2026-02-22 23:25:00.746846,Over-voltage,3
2026-02-22 23:25:01.846846,Over-voltage,3
2026-02-22 23:25:04.946846,Over-voltage,2
2026-02-22 23:25:07.546846,Under-voltage,3
2026-02-22 23:25:50.546846,Under-voltage,3
2026-02-22 23:26:02.046846,Under-voltage,3
2026-02-22 23:26:33.746846,Under-voltage,2
2026-02-22 23:27:50.046846,Over-voltage,1
2026-02-22 23:27:54.646846,Over-voltage,3
2026-02-22 23:28:00.546846,Over-voltage,2
2026-02-22 23:28:16.046846,Under-voltage,3
2026-02-22 23:28:16.146846,Under-voltage,3
2026-02-22 23:28:46.446846,Over-voltage,2
2026-02-22 23:29:19.046846,Under-voltage,1
2026-02-22 23:29:22.246846,Under-voltage,3
2026-02-22 23:29:46.846846,Over-voltage,2
2026-02-22 23:29:57.646846,Under-voltage,1
2026-02-22 23:30:43.846846,Over-voltage,1
2026-02-22 23:30:55.146846,Over-voltage,3
2026-02-22 23:31:40.346846,Over-voltage,1
2026-02-22 23:31:49.246846,Over-voltage,2
2026-02-22 23:32:21.346846,Over-voltage,3
2026-02-22 23:32:28.846846,Under-voltage,3
2026-02-22 23:32:41.746846,Over-voltage,1
2026-02-22 23:32:52.146846,Over-voltage,1
2026-02-22 23:33:22.846846,Under-voltage,1
2026-02-22 23:33:36.046846,Under-voltage,2
2026-02-22 23:34:10.546846,Under-voltage,3
2026-02-22 23:34:15.046846,Under-voltage,2
2026-02-22 23:34:44.746846,Under-voltage,2
2026-02-22 23:34:59.046846,Under-voltage,3
2026-02-22 23:35:07.746846,Under-voltage,2
2026-02-22 23:35:13.446846,Under-voltage,2
2026-02-22 23:35:16.946846,Under-voltage,3
2026-02-22 23:35:20.346846,Over-voltage,2
2026-02-22 23:35:23.746846,Over-voltage,2
2026-02-22 23:35:28.346846,Over-voltage,3
2026-02-22 23:35:40.046846,Under-voltage,1
2026-02-22 23:36:03.946846,Over-voltage,1
2026-02-22 23:36:14.546846,Under-voltage,1
2026-02-22 23:36:19.046846,Under-voltage,1
2026-02-22 23:36:27.846846,Over-voltage,1
2026-02-22 23:36:38.746846,Over-voltage,1
2026-02-22 23:36:40.646846,Over-voltage,1
2026-02-22 23:36:49.346846,Under-voltage,2
2026-02-22 23:37:12.546846,Under-voltage,2
2026-02-22 23:37:12.846846,Under-voltage,2
2026-02-22 23:37:29.546846,Under-voltage,3
2026-02-22 23:37:30.146846,Under-voltage,2
2026-02-22 23:37:36.846846,Over-voltage,3
2026-02-22 23:37:38.446846,Over-voltage,1
2026-02-22 23:37:53.346846,Under-voltage,1
2026-02-22 23:38:16.646846,Under-voltage,1
2026-02-22 23:38:18.346846,Over-voltage,2
2026-02-22 23:38:41.746846,Under-voltage,2
2026-02-22 23:39:22.746846,Under-voltage,2
2026-02-22 23:39:32.946846,Under-voltage,3
2026-02-22 23:39:38.946846,Under-voltage,1
2026-02-22 23:39:40.346846,Under-voltage,1
2026-02-22 23:39:54.346846,Under-voltage,3
2026-02-22 23:40:02.746846,Over-voltage,2
2026-02-22 23:40:09.646846,Under-voltage,1
2026-02-22 23:40:30.546846,Over-voltage,2
2026-02-22 23:40:33.246846,Under-voltage,2
2026-02-22 23:40:33.346846,Under-voltage,3
2026-02-22 23:40:41.846846,Over-voltage,3
2026-02-22 23:41:32.846846,Under-voltage,1
2026-02-22 23:41:35.546846,Under-voltage,2
2026-02-22 23:41:42.746846,Under-voltage,1
2026-02-22 23:41:44.546846,Under-voltage,1
2026-02-22 23:41:45.646846,Over-voltage,2
2026-02-22 23:42:02.446846,Over-voltage,2
2026-02-22 23:42:15.946846,Over-voltage,2
2026-02-22 23:42:24.446846,Over-voltage,3
2026-02-22 23:42:36.846846,Under-voltage,1
2026-02-22 23:42:50.546846,Over-voltage,2
2026-02-22 23:43:02.346846,Over-voltage,3
2026-02-22 23:43:13.446846,Under-voltage,3
2026-02-22 23:44:11.946846,Under-voltage,2
2026-02-22 23:44:20.446846,Over-voltage,2
2026-02-22 23:44:28.746846,Over-voltage,2
2026-02-22 23:44:52.446846,Under-voltage,1
2026-02-22 23:45:22.246846,Over-voltage,1
2026-02-22 23:45:26.146846,Under-voltage,1
2026-02-22 23:45:30.946846,Under-voltage,3
2026-02-22 23:45:31.146846,Over-voltage,2
2026-02-22 23:45:33.446846,Under-voltage,2
2026-02-22 23:45:50.846846,Over-voltage,1
2026-02-22 23:45:56.846846,Under-voltage,2
2026-02-22 23:46:19.446846,Over-voltage,3
2026-02-22 23:46:50.246846,Over-voltage,2
