timestamp,fault_type,severity
2026-02-22 23:17:06.925905,Under-voltage,2
2026-02-22 23:17:55.525905,Under-voltage,1
2026-02-22 23:18:23.925905,Over-voltage,3
2026-02-22 23:18:35.225905,Over-voltage,1
2026-02-22 23:19:45.025905,Over-voltage,3
2026-02-22 23:21:19.525905,Under-voltage,1
2026-02-22 23:25:26.625905,Over-voltage,1
2026-02-22 23:25:43.125905,Under-voltage,3
2026-02-22 23:25:44.525905,Under-voltage,3
2026-02-22 23:27:24.325905,Over-voltage,2
2026-02-22 23:28:54.825905,Under-voltage,2
2026-02-22 23:29:06.325905,Under-voltage,2
2026-02-22 23:29:17.325905,Under-voltage,1
2026-02-22 23:32:08.925905,Over-voltage,2
2026-02-22 23:32:17.925905,Under-voltage,1
2026-02-22 23:33:30.725905,Over-voltage,3
2026-02-22 23:33:37.925905,Under-voltage,1
2026-02-22 23:34:11.625905,Under-voltage,1
2026-02-22 23:34:21.125905,Under-voltage,3
2026-02-22 23:34:45.225905,Under-voltage,1
2026-02-22 23:36:51.825905,Under-voltage,3
2026-02-22 23:37:06.225905,Under-voltage,1
2026-02-22 23:37:08.125905,Over-voltage,3
2026-02-22 23:37:30.725905,Under-voltage,3
2026-02-22 23:38:30.525905,Under-voltage,2
2026-02-22 23:39:01.025905,Over-voltage,2
2026-02-22 23:40:38.725905,Under-voltage,1
2026-02-22 23:41:10.225905,Under-voltage,2
2026-02-22 23:42:08.025905,Under-voltage,3
2026-02-22 23:43:12.625905,Under-voltage,1
2026-02-22 23:43:31.225905,Under-voltage,3
2026-02-22 23:43:44.525905,Under-voltage,1
2026-02-22 23:46:27.025905,Over-voltage,3
