timestamp,fault_type,severity
2026-02-22 23:17:07.224136,Over-voltage,3
2026-02-22 23:17:47.324136,Over-voltage,3
2026-02-22 23:19:20.024136,Over-voltage,3
2026-02-22 23:19:21.524136,Under-voltage,3
2026-02-22 23:19:23.724136,Over-voltage,1
2026-02-22 23:20:14.524136,Under-voltage,2
2026-02-22 23:20:50.924136,Over-voltage,1
2026-02-22 23:20:53.524136,Under-voltage,1
2026-02-22 23:21:11.224136,Under-voltage,3
2026-02-22 23:21:32.624136,Under-voltage,1
2026-02-22 23:22:14.624136,Under-voltage,2
2026-02-22 23:22:15.424136,Under-voltage,1
2026-02-22 23:22:23.524136,Under-voltage,3
2026-02-22 23:22:23.624136,Over-voltage,3
2026-02-22 23:22:30.724136,Under-voltage,1
2026-02-22 23:22:36.324136,Over-voltage,1
2026-02-22 23:22:47.724136,Under-voltage,3
2026-02-22 23:22:50.024136,Over-voltage,1
2026-02-22 23:22:50.524136,Over-voltage,3
2026-02-22 23:23:04.524136,Under-voltage,2
2026-02-22 23:23:06.924136,Under-voltage,1
2026-02-22 23:23:23.624136,Over-voltage,3
2026-02-22 23:24:19.524136,Over-voltage,1
2026-02-22 23:24:23.624136,Over-voltage,2
2026-02-22 23:25:17.524136,Over-voltage,2
2026-02-22 23:26:12.124136,Under-voltage,2
2026-02-22 23:26:25.624136,Under-voltage,3
2026-02-22 23:26:50.424136,Under-voltage,3
2026-02-22 23:27:04.724136,Over-voltage,1
2026-02-22 23:27:22.724136,Over-voltage,3
2026-02-22 23:27:27.824136,Over-voltage,1
2026-02-22 23:27:42.024136,Over-voltage,2
2026-02-22 23:27:48.324136,Under-voltage,3
2026-02-22 23:27:57.724136,Under-voltage,2
2026-02-22 23:28:12.924136,Over-voltage,2
2026-02-22 23:28:22.324136,Over-voltage,1
2026-02-22 23:28:37.424136,Under-voltage,2
2026-02-22 23:28:46.524136,Over-voltage,3
2026-02-22 23:28:49.024136,Over-voltage,2
2026-02-22 23:29:00.724136,Over-voltage,1
2026-02-22 23:29:07.124136,Over-voltage,2
2026-02-22 23:29:24.124136,Under-voltage,3
2026-02-22 23:29:26.824136,Under-voltage,3
2026-02-22 23:29:40.424136,Under-voltage,1
2026-02-22 23:29:45.724136,Over-voltage,2
2026-02-22 23:29:54.924136,Under-voltage,2
2026-02-22 23:30:02.424136,Under-voltage,2
2026-02-22 23:30:07.724136,Under-voltage,2
2026-02-22 23:30:55.924136,Over-voltage,3
2026-02-22 23:31:18.124136,Under-voltage,1
2026-02-22 23:31:43.324136,Over-voltage,3
2026-02-22 23:32:15.324136,Over-voltage,1
2026-02-22 23:32:34.124136,Over-voltage,2
2026-02-22 23:33:57.424136,Under-voltage,2
2026-02-22 23:34:43.624136,Under-voltage,3
2026-02-22 23:34:47.824136,Over-voltage,3
2026-02-22 23:35:02.524136,Over-voltage,3
2026-02-22 23:36:26.124136,Under-voltage,3
2026-02-22 23:36:45.324136,Under-voltage,2
2026-02-22 23:37:11.624136,Under-voltage,2
2026-02-22 23:37:36.624136,Over-voltage,1
2026-02-22 23:39:25.824136,Over-voltage,3
2026-02-22 23:39:31.124136,Over-voltage,2
2026-02-22 23:40:21.624136,Under-voltage,2
2026-02-22 23:40:28.624136,Under-voltage,1
2026-02-22 23:40:54.624136,Under-voltage,1
2026-02-22 23:41:07.424136,Over-voltage,3
2026-02-22 23:41:23.024136,Under-voltage,3
2026-02-22 23:41:30.024136,Under-voltage,2
2026-02-22 23:41:58.624136,Over-voltage,1
2026-02-22 23:42:03.424136,Over-voltage,3
2026-02-22 23:42:35.124136,Under-voltage,1
2026-02-22 23:42:59.224136,Under-voltage,3
2026-02-22 23:43:20.224136,Over-voltage,2
2026-02-22 23:43:25.724136,Under-voltage,1
2026-02-22 23:44:32.224136,Over-voltage,1
2026-02-22 23:45:04.124136,Over-voltage,1
2026-02-22 23:45:10.724136,Over-voltage,3
2026-02-22 23:45:21.424136,Under-voltage,3
2026-02-22 23:45:43.924136,Over-voltage,2
2026-02-22 23:46:33.624136,Under-voltage,2
2026-02-22 23:46:34.524136,Over-voltage,2
2026-02-22 23:46:40.424136,Under-voltage,3
